2026-08-24 20:55:03,856 | INFO     | - | app | TalentOS Agent Builder Service started in local mode
2026-08-24 20:55:03,861 | INFO     | 7f744c24-4667-4239-bea8-771b00781be4 | app.request | --> GET /health
2026-08-24 20:55:03,864 | INFO     | 7f744c24-4667-4239-bea8-771b00781be4 | app.request | <-- GET /health 200 (2.4ms)
2026-08-24 20:55:03,868 | INFO     | 54c50b73-4572-483f-8e03-83b2783bb1cb | app.request | --> GET /api/v1/agents
2026-08-24 20:55:03,870 | INFO     | 54c50b73-4572-483f-8e03-83b2783bb1cb | app.request | <-- GET /api/v1/agents 422 (1.8ms)
2026-08-24 20:55:03,873 | INFO     | d6f76aea-1cb2-4bd5-a142-edc1b10bb406 | app.request | --> POST /api/v1/invoke
2026-08-24 20:55:03,875 | INFO     | d6f76aea-1cb2-4bd5-a142-edc1b10bb406 | app.request | <-- POST /api/v1/invoke 422 (2.1ms)
2026-08-24 20:57:42,250 | INFO     | - | app | TalentOS Agent Builder Service started in local mode
2026-08-24 20:57:42,250 | INFO     | - | uvicorn.error | Started server process [28772]
2026-08-24 20:57:42,250 | INFO     | - | uvicorn.error | Waiting for application startup.
2026-08-24 20:57:42,251 | INFO     | - | uvicorn.error | Application startup complete.
2026-08-24 20:57:53,897 | INFO     | cedd6c5e-4945-4def-a9e6-cd5b85d3cebc | app.request | --> GET /health
2026-08-24 20:57:53,898 | INFO     | cedd6c5e-4945-4def-a9e6-cd5b85d3cebc | app.request | <-- GET /health 200 (1.5ms)
2026-08-24 20:58:05,603 | INFO     | 04762c92-bffa-4e21-9913-d6806243f246 | app.request | --> POST /api/v1/invoke
2026-08-24 20:58:27,997 | INFO     | 04762c92-bffa-4e21-9913-d6806243f246 | app.services.invoke | Agent AGT01 invoked via claude in 21710ms
2026-08-24 20:58:27,998 | INFO     | 04762c92-bffa-4e21-9913-d6806243f246 | app.request | <-- POST /api/v1/invoke 200 (22394.4ms)
2026-08-24 20:58:38,139 | INFO     | 28e1c38b-ab24-4564-93fd-094fc25b3ca7 | app.request | --> GET /api/v1/agents
2026-08-24 20:58:38,151 | INFO     | 28e1c38b-ab24-4564-93fd-094fc25b3ca7 | app.request | <-- GET /api/v1/agents 200 (12.1ms)
2026-08-24 20:58:38,439 | INFO     | 3e86fed8-9a24-46e7-8a82-f208250198a8 | app.request | --> GET /api/v1/agents/d03e21e4-9104-4a92-8473-596cfb49dfa9/usage
2026-08-24 20:58:38,452 | INFO     | 3e86fed8-9a24-46e7-8a82-f208250198a8 | app.request | <-- GET /api/v1/agents/d03e21e4-9104-4a92-8473-596cfb49dfa9/usage 200 (13.9ms)
2026-08-24 21:09:37,876 | INFO     | bb22bdbe-908c-4d8e-8aec-6b9c0206202d | app.request | --> GET /health
2026-08-24 21:09:37,878 | INFO     | bb22bdbe-908c-4d8e-8aec-6b9c0206202d | app.request | <-- GET /health 200 (2.3ms)
2026-08-24 21:10:48,517 | INFO     | 605b1887-5550-4585-a78b-91a4bb41ed36 | app.request | --> POST /api/v1/invoke
2026-08-24 21:11:05,030 | INFO     | 605b1887-5550-4585-a78b-91a4bb41ed36 | app.services.invoke | Agent AGT05 invoked via claude in 14876ms
2026-08-24 21:11:05,033 | INFO     | 605b1887-5550-4585-a78b-91a4bb41ed36 | app.request | <-- POST /api/v1/invoke 200 (16515.9ms)
2026-08-24 22:55:18,995 | INFO     | ca714157-5b32-4a8d-b310-286c0087fc46 | app.request | --> GET /api/v1/agents
2026-08-24 22:55:19,006 | INFO     | ca714157-5b32-4a8d-b310-286c0087fc46 | app.request | <-- GET /api/v1/agents 200 (11.2ms)
2026-08-24 22:55:19,377 | INFO     | fd781059-b6b1-48c8-a64f-dccf9d14c1ad | app.request | --> GET /api/v1/agents/cfe864e8-b0a3-4536-8564-a28b3437bc1f
2026-08-24 22:55:19,401 | INFO     | fd781059-b6b1-48c8-a64f-dccf9d14c1ad | app.request | <-- GET /api/v1/agents/cfe864e8-b0a3-4536-8564-a28b3437bc1f 200 (24.3ms)
2026-08-24 22:56:53,762 | INFO     | 5402c222-f187-458e-99d4-32032cfa0765 | app.request | --> POST /api/v1/invoke
2026-08-24 22:57:09,409 | INFO     | 5402c222-f187-458e-99d4-32032cfa0765 | app.services.invoke | Agent AGT05 invoked via claude in 14838ms
2026-08-24 22:57:09,410 | INFO     | 5402c222-f187-458e-99d4-32032cfa0765 | app.request | <-- POST /api/v1/invoke 200 (15647.9ms)
2026-08-24 22:57:25,274 | INFO     | db4a8fa4-ab02-4305-a438-d3aad68b8154 | app.request | --> POST /api/v1/invoke
2026-08-24 22:58:25,872 | WARNING  | db4a8fa4-ab02-4305-a438-d3aad68b8154 | app.llm | claude attempt 1 timed out: 
2026-08-24 22:58:40,513 | INFO     | 40476ead-1c11-4fab-8d1a-94003674d462 | app.request | --> POST /api/v1/invoke
2026-08-24 22:59:21,914 | INFO     | db4a8fa4-ab02-4305-a438-d3aad68b8154 | app.services.invoke | Agent AGT06 invoked via claude in 116030ms
2026-08-24 22:59:21,916 | INFO     | db4a8fa4-ab02-4305-a438-d3aad68b8154 | app.request | <-- POST /api/v1/invoke 200 (116641.9ms)
2026-08-24 22:59:36,434 | INFO     | 40476ead-1c11-4fab-8d1a-94003674d462 | app.services.invoke | Agent AGT06 invoked via claude in 55256ms
2026-08-24 22:59:36,436 | INFO     | 40476ead-1c11-4fab-8d1a-94003674d462 | app.request | <-- POST /api/v1/invoke 200 (55923.2ms)
2026-08-24 23:07:46,072 | INFO     | 0c60759a-f565-4159-9e69-e30d7bd6f186 | app.request | --> GET /health
2026-08-24 23:07:46,075 | INFO     | 0c60759a-f565-4159-9e69-e30d7bd6f186 | app.request | <-- GET /health 200 (3.1ms)
2026-08-24 23:08:35,939 | INFO     | bdb47917-329f-4e0a-97ca-ceaab166b672 | app.request | --> GET /api/v1/agents
2026-08-24 23:08:35,953 | INFO     | bdb47917-329f-4e0a-97ca-ceaab166b672 | app.request | <-- GET /api/v1/agents 200 (13.8ms)
